matricula_aluno,nome_aluno,codigo_instituicao,nome_instituicao,sexo_aluno,id_curso,nome_curso,turno_curso,turma_aluno,periodo_inicial_aluno,codigo_departamento,nome_departamento
20211BAQUIN0063,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2021/1,,
20251ENG.MEC0011,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20211LQUIM0073,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2021/1,,
20211BAQUIN0209,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2021/1,,
20241BAQUIN0127,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20241BAQUIN0011,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20211LQUIM0049,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20201ENG.MEC0367,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20241BAQUIN0097,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20231LQUIM0205,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20171BAQUIN0384,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2017/1,,
20241LQUIM0113,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2024/1,,
20211ENG.MEC0036,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2021/1,,
20231LQUIM0060,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20251LQUIM0170,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20221BAQUIN0060,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Noturno,,2022/1,,
20251BAQUIN0190,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20221BAQUIN0043,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20231LQUIM0183,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20241ENG.MEC0369,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20211LQUIM0332,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20201BAQUIN0172,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20242LQUIM0014,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2024/2,,
20251BAQUIN0018,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20181ENG.MEC0250,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2018/1,,
20211ENG.MEC0427,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20201ENG.MEC0227,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20251BAQUIN0026,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20251ENG.MEC0445,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20211ENG.MEC0206,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20211ENG.MEC0095,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20211ENG.MEC0397,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20191ENG.MEC0078,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2019/1,,
20251LQUIM0021,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20221ENG.MEC0040,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20251BAQUIN0220,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20241ENG.MEC0423,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20241ENG.MEC0393,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20201BAQUIN0415,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20251BAQUIN0204,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20181ENG.MEC0510,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2018/1,,
20251ENG.MEC0020,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20231ENG.MEC0177,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20191ENG.MEC0418,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2019/1,,
20201BAQUIN0040,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2020/1,,
20181ENG.MEC0285,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2018/1,,
20241BAQUIN0020,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2024/1,,
20171LQUIM0275,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2017/1,,
20251ENG.MEC0038,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20201ENG.MEC0324,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2020/1,,
20251LQUIM0218,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20221BAQUIN0027,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20231LQUIM0221,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20201BAQUIN0032,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20251BAQUIN0247,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20241ENG.MEC0059,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20211LQUIM0081,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20241ENG.MEC0458,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20161LQUIM0090,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2016/1,,
20251LQUIM0030,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20251BAQUIN0140,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20251LQUIM0196,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20181LQUIM0140,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2018/1,,
20201ENG.MEC0138,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20241ENG.MEC0431,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20201BAQUIN0431,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20251BAQUIN0255,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20251ENG.MEC0267,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20251ENG.MEC0259,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20221ENG.MEC0368,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20251LQUIM0048,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20221ENG.MEC0295,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2022/1,,
20221BAQUIN0272,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2022/1,,
20231LQUIM0175,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20251LQUIM0242,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20221ENG.MEC0376,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20231ENG.MEC0185,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20171ENG.MEC0450,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2017/1,,
20241LQUIM0083,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2024/1,,
20181LQUIM0345,,,Campus Aracruz,F,,Licenciatura em Química,Integral,,2018/1,,
20221BAQUIN0019,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20241ENG.MEC0180,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20251BAQUIN0034,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20221LQUIM0178,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2022/1,,
20251ENG.MEC0054,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20221ENG.MEC0090,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20251LQUIM0056,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20192LQUIM0014,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2019/2,,
20251ENG.MEC0453,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20241LQUIM0105,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2024/1,,
20211ENG.MEC0230,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2021/1,,
20191BAQUIN0360,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2019/1,,
20251ENG.MEC0410,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20211BAQUIN0195,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2021/1,,
20231ENG.MEC0207,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20241BAQUIN0089,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20201ENG.MEC0030,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2020/1,,
20221ENG.MEC0244,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2022/1,,
20241ENG.MEC0270,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20251ENG.MEC0062,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20221ENG.MEC0120,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20211ENG.MEC0060,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20231ENG.MEC0231,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20221ENG.MEC0350,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20241ENG.MEC0113,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20231ENG.MEC0045,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20201ENG.MEC0073,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20251ENG.MEC0305,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20241LQUIM0156,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2024/1,,
20211BAQUIN0020,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2021/1,,
20251LQUIM0188,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20251BAQUIN0263,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2025/1,,
20201BAQUIN0091,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20241ENG.MEC0067,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20231ENG.MEC0169,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2023/1,,
20211BAQUIN0012,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2021/1,,
20221BAQUIN0302,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20251ENG.MEC0399,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20231BAQUIN0120,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2023/1,,
20251ENG.MEC0429,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20251BAQUIN0182,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20201ENG.MEC0189,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20201ENG.MEC0111,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20241ENG.MEC0377,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20191ENG.MEC0477,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2019/1,,
20251BAQUIN0050,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20191ENG.MEC0140,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2019/1,,
20251ENG.MEC0070,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20231ENG.MEC0029,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20251LQUIM0137,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20241ENG.MEC0229,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20241ENG.MEC0199,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20251BAQUIN0239,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20161ENG.MEC0098,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2016/1,,
20181ENG.MEC0056,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2018/1,,
20251LQUIM0234,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20251ENG.MEC0089,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20231ENG.MEC0053,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20221ENG.MEC0031,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20181LQUIM0205,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2018/1,,
20241ENG.MEC0237,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20181LQUIM0221,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2018/1,,
20212ENG.MEC0040,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/2,,
20241LQUIM0059,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2024/1,,
20191LQUIM0393,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2019/1,,
20211ENG.MEC0010,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20241ENG.MEC0083,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20192ENG.MEC0023,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2019/2,,
20241BAQUIN0100,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20231ENG.MEC0401,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20241LQUIM0024,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2024/1,,
20201ENG.MEC0219,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20201BAQUIN0245,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2020/1,,
20211ENG.MEC0338,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20171ENG.MEC0310,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2017/1,,
20161LQUIM0057,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2016/1,,
20242LQUIM0022,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2024/2,,
20251ENG.MEC0356,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20201ENG.MEC0200,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20251ENG.MEC0283,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20191ENG.MEC0256,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2019/1,,
20251ENG.MEC0232,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20231ENG.MEC0274,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20211BAQUIN0047,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2021/1,,
20221ENG.MEC0015,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20251ENG.MEC0216,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20241ENG.MEC0288,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20211ENG.MEC0052,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20221ENG.MEC0236,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20251ENG.MEC0208,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20201BAQUIN0075,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2020/1,,
20102LQUIM0035,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2010/2,,
20211LQUIM0154,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2021/1,,
20221BAQUIN0280,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20251ENG.MEC0100,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20221BAQUIN0361,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Noturno,,2022/1,,
20201BAQUIN0113,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20211ENG.MEC0109,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2021/1,,
20231LQUIM0108,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20181BAQUIN0399,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2018/1,,
20221ENG.MEC0252,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2022/1,,
20241ENG.MEC0350,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20221BAQUIN0116,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2022/1,,
20231BAQUIN0040,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2023/1,,
20231LQUIM0230,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20251BAQUIN0271,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20231BAQUIN0023,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2023/1,,
20251LQUIM0072,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20211LQUIM0090,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20231ENG.MEC0061,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2023/1,,
20251LQUIM0250,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20241LQUIM0121,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2024/1,,
20251ENG.MEC0348,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20241ENG.MEC0148,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20241BAQUIN0232,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20231LQUIM0035,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20171ENG.MEC0417,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2017/1,,
20231LQUIM0094,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20221BAQUIN0205,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20251BAQUIN0085,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20221BAQUIN0329,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20251LQUIM0080,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20251LQUIM0161,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20251BAQUIN0212,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20251ENG.MEC0380,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2025/1,,
20241ENG.MEC0040,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20151ENG.MEC0041,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2015/1,,
20231ENG.MEC0142,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20221BAQUIN0132,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20241ENG.MEC0024,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20231BAQUIN0031,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2023/1,,
20211BAQUIN0250,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2021/1,,
20231ENG.MEC0339,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2023/1,,
20241BAQUIN0046,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20241ENG.MEC0105,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20221ENG.MEC0058,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2022/1,,
20221ENG.MEC0325,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2022/1,,
20241BAQUIN0038,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20241ENG.MEC0300,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20251BAQUIN0093,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20211ENG.MEC0133,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20241ENG.MEC0130,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20191BAQUIN0107,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2019/1,,
20241BAQUIN0062,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2024/1,,
20221BAQUIN0159,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2022/1,,
20221LQUIM0186,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2022/1,,
20241ENG.MEC0318,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20221ENG.MEC0163,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20231ENG.MEC0088,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20191LQUIM0555,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2019/1,,
20251LQUIM0285,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20171BAQUIN0473,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2017/1,,
20221LQUIM0119,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2022/1,,
20251ENG.MEC0291,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20221ENG.MEC0260,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20251ENG.MEC0275,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20221ENG.MEC0180,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20251BAQUIN0107,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20242ENG.MEC0012,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/2,,
20211LQUIM0057,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20251BAQUIN0166,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20181LQUIM0302,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2018/1,,
20241LQUIM0032,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2024/1,,
20211LQUIM0375,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20251LQUIM0099,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20251ENG.MEC0119,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20251BAQUIN0115,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20161LQUIM0499,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2016/1,,
20211ENG.MEC0400,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20201ENG.MEC0170,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20231ENG.MEC0100,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20241ENG.MEC0326,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20231ENG.MEC0215,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20241ENG.MEC0415,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20211ENG.MEC0257,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20211BAQUIN0292,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2021/1,,
20221ENG.MEC0422,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20222ENG.MEC0011,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/2,,
20181ENG.MEC0420,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2018/1,,
20221ENG.MEC0210,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20231ENG.MEC0118,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20241ENG.MEC0156,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20251ENG.MEC0372,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20222LQUIM0010,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2022/2,,
20221LQUIM0020,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2022/1,,
20251ENG.MEC0127,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20251ENG.MEC0402,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20221LQUIM0321,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2022/1,,
