matricula_aluno,nome_aluno,codigo_instituicao,nome_instituicao,sexo_aluno,id_curso,nome_curso,turno_curso,turma_aluno,periodo_inicial_aluno,codigo_departamento,nome_departamento
20231ENPRO0194,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2023/1,,
20241ENPRO0159,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2024/1,,
20201ENPRO0400,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20181ENPRO0003,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2018/1,,
20251ECON0117,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20251ECON0125,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20241FISIC0313,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2024/1,,
20251ENPRO0385,,,Campus Cariacica,M,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20211ENPRO0041,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2021/1,,
20242BAFIS0010,,,Campus Cariacica,M,,Bacharelado em Física,Integral,,2024/2,,
20201ENPRO0303,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20181ENPRO0021,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2018/1,,
20251FISIC0019,,,Campus Cariacica,M,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20231ENPRO0119,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20232ECON0198,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2023/2,,
20241FISIC0062,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2024/1,,
20201ENPRO0036,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20231ENPRO0186,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20251ECON0397,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20241FISIC0267,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2024/1,,
20191ENPRO0051,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2019/1,,
20231ENPRO0526,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20251ECON0109,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20181ENPRO0008,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2018/1,,
20221ENPRO0162,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20201FISIC0411,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2020/1,,
20151ENPRO0460,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2015/1,,
20241ECON0372,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
